2026/06/21 14:01:01.885531 [QueueManager] POST /qm/lease took 20.122µs
2026/06/21 14:01:01.885957 [QueueManager] POST /qm/ack took 12.19µs
2026/06/21 14:01:01.887373 [QueueManager] POST /brokers/heartbeat took 7.181µs
2026/06/21 14:01:02.085565 [QueueManager] POST /qm/lease took 23.341µs
2026/06/21 14:01:02.085907 [QueueManager] POST /qm/ack took 14.281µs
2026/06/21 14:01:02.285486 [QueueManager] POST /qm/lease took 15.831µs
2026/06/21 14:01:02.285814 [QueueManager] POST /qm/ack took 10.541µs
2026/06/21 14:01:02.485393 [QueueManager] POST /qm/lease took 24.242µs
2026/06/21 14:01:02.485722 [QueueManager] POST /qm/ack took 10.731µs
2026/06/21 14:01:02.685176 [QueueManager] POST /qm/lease took 16.911µs
2026/06/21 14:01:02.685487 [QueueManager] POST /qm/ack took 10.31µs
2026/06/21 14:01:02.886048 [QueueManager] POST /qm/lease took 22.771µs
2026/06/21 14:01:02.886374 [QueueManager] POST /qm/ack took 11.841µs
2026/06/21 14:01:03.085977 [QueueManager] POST /qm/lease took 21.991µs
2026/06/21 14:01:03.086335 [QueueManager] POST /qm/ack took 11.861µs
2026/06/21 14:01:03.285900 [QueueManager] POST /qm/lease took 19.161µs
2026/06/21 14:01:03.286268 [QueueManager] POST /qm/ack took 10.011µs
2026/06/21 14:01:03.485835 [QueueManager] POST /qm/lease took 26.062µs
2026/06/21 14:01:03.486247 [QueueManager] POST /qm/ack took 13.411µs
2026/06/21 14:01:03.685843 [QueueManager] POST /qm/lease took 24.571µs
2026/06/21 14:01:03.686248 [QueueManager] POST /qm/ack took 13.231µs
2026/06/21 14:01:03.885862 [QueueManager] POST /qm/lease took 25.511µs
2026/06/21 14:01:03.886266 [QueueManager] POST /qm/ack took 14.381µs
2026/06/21 14:01:03.887456 [QueueManager] POST /brokers/heartbeat took 10.851µs
2026/06/21 14:01:04.291996 [QueueManager] Auto-routing topic "lb-topic" to broker "broker-1" (http://localhost:8081)
2026/06/21 14:01:04.292037 [QueueManager] GET /topics/route took 43.652µs
2026/06/21 14:01:04.292084 [QueueManager] GET /topics/route took 74.054µs
2026/06/21 14:01:04.292821 [QueueManager] POST /qm/lease took 14.561µs
2026/06/21 14:01:04.292844 [QueueManager] Topic "lb-topic" mapped to broker "broker-1"
2026/06/21 14:01:04.292854 [QueueManager] POST /topics/register took 20.161µs
2026/06/21 14:01:04.292947 [QueueManager] POST /qm/lease took 11.15µs
2026/06/21 14:01:04.491460 [QueueManager] POST /qm/lease took 20.281µs
2026/06/21 14:01:04.491484 [QueueManager] POST /qm/lease took 9.44µs
2026/06/21 14:01:04.690991 [QueueManager] POST /qm/lease took 11.591µs
2026/06/21 14:01:04.691026 [QueueManager] POST /qm/lease took 17.041µs
2026/06/21 14:01:04.891548 [QueueManager] POST /qm/lease took 25.861µs
2026/06/21 14:01:04.891562 [QueueManager] POST /qm/lease took 6.04µs
2026/06/21 14:01:05.091190 [QueueManager] POST /qm/lease took 17.881µs
2026/06/21 14:01:05.091240 [QueueManager] POST /qm/lease took 68.724µs
2026/06/21 14:01:05.092975 [QueueManager] GET /topics/route took 18.231µs
2026/06/21 14:01:05.290756 [QueueManager] POST /qm/lease took 19.141µs
2026/06/21 14:01:05.291713 [QueueManager] POST /qm/lease took 9.011µs
2026/06/21 14:01:05.491278 [QueueManager] POST /qm/ack took 11.641µs
2026/06/21 14:01:05.491480 [QueueManager] POST /qm/lease took 10.65µs
2026/06/21 14:01:05.492247 [QueueManager] POST /qm/ack took 7.9µs
2026/06/21 14:01:05.492448 [QueueManager] POST /qm/lease took 10.591µs
2026/06/21 14:01:05.692136 [QueueManager] POST /qm/ack took 17.091µs
2026/06/21 14:01:05.692632 [QueueManager] POST /qm/lease took 13.171µs
2026/06/21 14:01:05.692872 [QueueManager] POST /qm/ack took 7.091µs
2026/06/21 14:01:05.693047 [QueueManager] POST /qm/lease took 14.381µs
2026/06/21 14:01:05.887480 [QueueManager] POST /brokers/heartbeat took 13.901µs
2026/06/21 14:01:05.893281 [QueueManager] POST /qm/ack took 11.871µs
2026/06/21 14:01:05.893549 [QueueManager] POST /qm/lease took 14.25µs
2026/06/21 14:01:05.893661 [QueueManager] POST /qm/ack took 10.921µs
2026/06/21 14:01:05.893865 [QueueManager] POST /qm/lease took 8.351µs
2026/06/21 14:01:06.094572 [QueueManager] POST /qm/ack took 23.591µs
2026/06/21 14:01:06.094667 [QueueManager] POST /qm/ack took 13.551µs
2026/06/21 14:01:06.094843 [QueueManager] POST /qm/lease took 15.151µs
